win,n,sum_fI,sum_fII,sum_fII2,diag,sum_f,sum_f2
6,2,9,6,18,6,15,113
7,2,8,6,20,6,14,100
8,5,53,35,255,43,88,1572
9,6,70,45,359,49,115,2283
10,16,279,146,1454,166,425,12379
11,31,720,396,5604,468,1116,44048
12,58,1756,922,15896,1116,2678,133596
13,99,3809,1982,42806,2446,5791,365477
14,200,9750,4860,127192,5978,14610,1152336
15,375,22816,11126,352346,13502,33942,3279078
16,704,51902,24889,939365,30527,76791,8953757
17,1331,119813,56025,2503713,68823,175838,24667736
18,373,37189,17171,839079,20803,54360,8384230
